query,subject,percent_identity
Alg8,ALG8,90.353
Ndufc2,NDUFC2,74.38
Hmgcll1,HMGCLL1,91.388
Aqp11,AQP11,79.297
Elovl5,ELOVL5,92.121
Elovl5,ELOVL2,60.119
Naprt,NAPRT,85.075
Pigb,PIGB,81.015
LOC100763430,LOC615303,67.486
Aldh1a2,ALDH1A2,97.746
Aldh1a2,ALDH1A1,73.265
Aldh1a2,ALDH1A3,71.224
Aldh1a2,ALDH2,67.894
Aldh1a2,ALDH1B1,62.162
Aldh1a2,ALDH1L1,50.209
LOC100763430,LOC100296421,65.537
LOC100763430,LOC100138908,65.725
LOC100763430,UGT2B10,66.102
LOC100763430,LOC540615,65.16
LOC100763430,LOC100140261,65.16
LOC100763430,LOC530553,58.845
Aqp9,AQP9,78.992
Lipc,LIPC,71.315
Gcnt3,GCNT3,78.802
Gcnt3,GCNT1,56.522
Gcnt3,LOC112443869,51.883
Gcnt3,GCNT2,50.806
Galns,GALNS,87.603
LOC100763430,LOC540544,75.46
LOC100763430,LOC100138004,74.183
LOC100763430,UGT2A1,77.586
LOC100763430,MGC152010,57.553
Aprt,APRT,90.055
Mvd,MVD,86.935
LOC100763430,LOC526979,56.897
Ca5a,CA5A,72.535
Ca5a,CA5B,59.524
Bche,BCHE,82.383
Bche,ACHE,54.603
Ca5a,CA7,52.521
Ca5a,CA2,51.073
Ca5a,CA1,50.211
Ca5a,CA3,50.538
Ca5a,CA13,55.862
LOC100768367,ALDH1A2,72.267
LOC100768367,ALDH1A3,68.347
Slc7a5,SLC7A8,53.017
Slc7a5,SLC7A5,90.177
LOC100768654,ALDH1A1,86.145
Slc7a5,SLC7A6,50.615
Slc7a5,SLC7A10,50.158
LOC100770670,COX4I1,87.059
Mlycd,MLYCD,83.498
Hsd17b2,HSD17B2,63.351
Plcg2,PLCG2,93.054
Plcg2,PLCG1,51.747
Plcg2,PLCB4,51.111
Plcg2,AHI1,51.923
Bco1,BCO1,82.143
Slc38a2,SLC38A2,88.976
Slc38a2,SLC38A3,59.25
Chst13,CHST13,73.81
Chst13,CHST14,73.529
LOC100751798,LOC781988,57.895
Uroc1,UROC1,89.748
Slc38a2,SLC38A6,58.442
LOC100751798,MGC152010,57.115
Aldh1l1,ALDH1L1,89.701
Slc38a2,SLC38A4,59.453
Aldh1l1,ALDH1L2,74.197
LOC100751798,LOC526979,57.17
Slc38a2,SLC38A1,51.399
Slc38a2,SLC38A5,51.899
Slc38a1,SLC38A1,91.189
Slc38a1,SLC38A2,51.398
Slc38a1,SLC38A3,53.351
Slc6a6,SLC6A6,89.727
Slc38a1,SLC38A6,55.0
Slc6a6,SLC6A11,65.217
Ndufa7,NDUFA7,83.333
Slc6a6,SLC6A13,67.49
Slc6a6,SLC6A8,56.897
Kmt2a,KMT2A,100.0
Slc6a6,SLC6A1,52.92
Slc6a6,SLC6A12,66.754
Slc6a6,LOC785907,63.636
Kmt2a,KMT2B,74.603
Kmt2a,SETD1B,56.618
Kmt2a,SETD1A,53.741
Kmt2a,MBD1,53.333
Kmt2a,DNMT1,51.064
Treh,TREH,79.63
Acadsb,ACADSB,82.796
Slc25a26,SLC25A26,87.5
Ehmt1,SUV39H1,52.027
Suclg2,SUCLG2,94.355
Suclg2,SUCLA2,54.233
Hs6st3,HS6ST3,93.043
Hs6st3,HS6ST1,68.67
Hs6st3,HS6ST2,70.707
Abcc4,LOC515333,88.348
Abcc4,LOC523126,71.184
Abcc4,LOC528412,69.992
Abcc4,LOC100848700,72.147
Abcc4,LOC509854,72.253
Ehmt1,EHMT2,60.0
Abcc4,LOC100299180,71.476
Abcc4,LOC101902555,72.04
Abcc4,LOC107131247,71.159
Abcc4,LOC107131273,67.87
Abcc4,LOC522174,67.65
Abcc4,LOC100337129,66.885
Abcc4,LOC107131218,64.432
Abcc4,LOC112449109,63.2
Abcc4,LOC132344757,73.791
Abcc4,LOC112445749,75.726
Abcc4,LOC101902462,66.237
Abcc4,LOC101904517,73.729
Abcc4,LOC101903219,67.553
Abcc4,LOC104970698,74.85
Abcc4,LOC101907471,67.5
Abcc4,LOC101902253,72.816
Abcc4,LOC104969875,73.134
Ehmt1,EHMT1,87.316
Abcc4,LOC112449072,76.471
Abcc4,LOC112445621,70.283
Abcc4,LOC132344789,69.942
Abcc4,LOC112445693,70.149
Inpp5a,INPP5A,94.102
Abcc4,LOC112445525,70.833
Gmppa,GMPPA,95.249
Abcc4,LOC132344758,69.492
Abcc4,LOC132344762,72.881
Abcc4,LOC112449074,69.492
Chpf,CHPF,92.996
Abcc4,LOC523431,72.131
Chpf,CHPF2,58.661
Abcc4,LOC132346710,57.627
Slc4a3,SLC4A3,96.612
Slc4a3,SLC4A2,57.841
Abcc4,LOC784305,75.512
Abcc4,LOC101906567,74.265
Slc4a3,SLC4A1,51.84
Cndp1,CNDP1,81.405
LOC100751325,UGT2A1,77.931
Abcc4,LOC100847574,72.262
Abcc4,LOC100337076,72.182
Cndp1,CNDP2,55.131
Cndp2,CNDP2,92.908
Cndp2,CNDP1,52.11
Abcc4,LOC520016,72.058
Man1c1,MAN1C1,91.463
Man1c1,MAN1A1,53.772
Abcc4,LOC100337390,71.186
Abcc4,LOC521568,70.268
Man1c1,MAN1A2,51.452
Rhag,RHAG,70.704
Rhag,RHBG,50.938
Abcc4,LOC100337053,70.492
Abcc4,LOC107131271,71.361
Pde1b,PDE1B,97.297
Abcc4,LOC132342101,71.297
Pde1b,PDE1C,63.43
Pde1b,PDE1A,65.266
LOC100751774,LOC100125266,77.226
LOC100751774,ALPI,77.019
LOC100751774,LOC528262,73.292
Abcc4,LOC104973089,78.006
LOC100751774,LOC516378,73.292
Abcc4,LOC100851552,64.179
Abcc4,LOC107131259,74.257
LOC100751774,ALPL,61.486
Abcc4,LOC101902112,71.186
Abcc4,LOC617079,73.267
Abcc4,LOC112445630,72.067
LOC100751196,ALPI,78.313
LOC100751196,LOC100125266,76.908
Abcc4,LOC100337244,71.186
LOC100751196,LOC528262,74.297
LOC100751196,LOC516378,73.137
Abcc4,LOC132346786,83.871
Abcc4,LOC132344763,78.788
Dct,DCT,85.772
LOC100751196,ALPL,61.348
Pygm,PYGM,95.611
Pygm,PYGB,81.384
Pygm,PYGL,80.385
Gnpnat1,GNPNAT1,94.595
Adcy6,ADCY6,93.573
Adcy6,ADCY5,72.375
Plcb4,PLCG1,51.685
Plcb4,PLCG2,50.556
LOC100770573,HS3ST4,99.524
LOC100770573,HS3ST2,76.355
Plcb4,PLCB4,98.079
LOC100770573,HS3ST6,72.906
Plcb4,PLCD3,51.531
Plcb1,PLCB1,96.438
LOC100770573,HS3ST3A1,71.429
Plcb1,PLCB2,56.727
LOC100764001,COX6A1,83.636
Hao1,HAO1,88.542
Slco3a1,SLCO3A1,96.682
LOC100764593,PLA2G1B,76.429
Spcs1,LOC781197,74.51
Spcs1,SPCS1,95.146
Galnt15,GALNT15,65.601
Sdsl,SDS,60.443
Sds,SDS,78.659
Btd,BTD,79.661
Ogdhl,OGDHL,92.285
Ip6k3,IP6K3,73.632
Ip6k3,IP6K2,51.004
Ogdhl,OGDH,78.856
Inpp5e,INPP5E,71.624
Il4i1,IL4I1,80.119
Vnn1,VNN1,78.313
Vnn1,VNN2,63.928
LOC100758683,CYP17A1,65.157
LOC100758683,LOC112444495,65.157
Ogdhl,LOC132342072,80.474
Chat,CHAT,86.094
Slc18a3,SLC18A3,84.142
Glud1,GLUD1,97.81
Otc,OTC,93.656
Bdh1,BDH1,82.029
Pigz,PIGZ,74.823
Pigx,PIGX,85.43
Pcyt1a,PCYT1A,94.293
Enoph1,ENOPH1,89.535
Pcyt1a,PCYT1B,78.214
Ampd2,AMPD2,97.24
Ampd2,AMPD3,52.436
Umps,UMPS,84.158
Hacd2,HACD2,97.044
Ampd2,AMPD1,55.108
Hacd2,HACD1,68.649
Adcy5,ADCY5,95.961
Adcy5,ADCY6,71.496
Ckmt2,CKMT2,96.19
Ckmt2,CKMT1A,78.795
Dctd,DCTD,91.62
Nmnat3,NMNAT2,53.191
Atp1b3,ATP1B3,65.022
Chst2,CHST2,97.606
Slc9a9,SLC9A9,90.078
Ckmt2,CKB,66.759
Slc9a9,SLC9A6,63.184
Slc9a9,LOC112445029,60.625
Slc9a9,SLC9A7,61.146
Setd1a,SETD1B,67.059
Setd1a,KMT2A,53.741
Setd1a,KMT2B,53.061
Sod1,SOD1,84.496
Sod1,CCS,53.226
Hsd3b7,HSD3B7,89.15
B3gnt6,B3GNT6,71.968
B3gnt6,B3GNT3,53.571
Pik3cd,PIK3CD,93.304
Pik3cd,PIK3CB,51.927
H6pd,SPSB1,80.886
Acad9,ACAD9,86.576
Mccc1,MCCC1,85.784
Rfk,RFK,89.844
Synj1,SYNJ2,57.853
Gcnt1,GCNT1,79.625
Gcnt1,GCNT3,56.72
LOC100774126,PAFAH1B3,71.579
Aldh8a1,ALDH8A1,89.733
Mogs,MOGS,85.85
Pipox,PIPOX,81.425
Atp4b,ATP4B,82.034
LOC100754734,CYP7B1,62.446
Cerk,CERK,81.405
Ppcdc,PPCDC,90.909
Synj1,SYNJ1,89.922
LOC100765757,COX5A,64.052
Mpi,MPI,87.736
Nudt2,NUDT2,81.081
LOC100755207,LOC783202,81.429
LOC100755207,COX8A,80.0
LOC100755207,COX8B,52.0
Plcb3,PLCB3,90.681
Plcb3,PLCB1,55.013
Plcb3,PLCB2,53.064
Adhfe1,ADHFE1,86.567
Sc5d,SC5D,82.292
Pigf,PIGF,86.364
Atp6v1e2,ATP6V1E2,77.533
Atp6v1e2,ATP6V1E1,73.128
Gns,GNS,94.07
B4galt1,B4GALT1,86.312
Gart,GART,84.965
Slc5a3,SLC5A3,95.41
Slc5a3,SLC5A2,51.885
Slc5a3,SLC5A1,55.263
Slc5a3,SLC5A9,51.236
Slc5a3,SLC5A4,50.083
Slc5a3,SLC5A10,52.206
Mthfs,MTHFS,82.828
B4galt1,B4GALT2,65.649
B4galt1,B4GALT3,56.322
B4galt1,B4GALT4,52.14
Slc25a4,SLC25A4,94.677
Nt5e,NT5E,85.962
Me1,ME1,91.176
Me1,ME3,72.458
Me1,ME2,57.77
Slc25a4,LOC132344463,88.593
Pgm3,PGM3,85.451
Slc25a4,LOC787122,91.632
Slc25a4,SLC25A31,72.587
Acsl1,ACSL1,86.123
Acsl1,ACSL6,71.141
Nt5c,NT5M,56.204
Nt5c,NT5C,81.707
Acsl1,ACSL5,62.48
Slc16a5,SLC16A5,64.439
Fdxr,FDXR,78.905
Plpp3,PLPP3,93.291
Pde5a,PDE5A,91.831
Gad2,GAD2,96.075
Plpp3,PLPP1,55.159
Gad2,GAD1,66.14
Plpp3,PLPP2,54.359
Gad2,LOC529488,62.525
Dhcr24,DHCR24,96.819
Gad2,CSAD,56.989
Cpt2,CPT2,83.797
Gad2,GADL1,50.101
Sat1,SAT1,98.969
Slc1a7,SLC1A7,92.513
Slc1a7,SLC1A3,59.236
Slc1a7,SLC1A6,53.516
Slc1a7,SLC1A1,51.566
Slc1a7,SLC1A2,66.423
Sat1,SATL1,64.948
Slc13a2,SLC13A2,77.985
Aldh4a1,ALDH4A1,88.065
Ca5b,CA5B,88.994
Slc13a2,SLC13A5,53.321
Slc46a1,SLC46A1,78.478
Ca5b,CA5A,65.672
Ca5b,CA7,54.618
Nos2,NOS2,82.477
Ca5b,CA13,56.552
Nos2,NOS3,51.67
Nos2,NOS1,61.152
Acad8,ACAD8,88.689
Abca1,ABCA1,94.253
Slc7a10,SLC7A10,95.533
Abca1,ABCA4,51.011
Slc7a10,SLC7A8,65.116
Slc2a2,SLC2A2,86.0
Slc2a2,SLC2A1,57.31
Abca1,ABCA7,58.519
Slc2a2,SLC2A4,57.143
Slc2a2,SLC2A3,56.839
Mthfd1l,MTHFD1L,89.528
Slc2a2,LOC538810,53.517
Mthfd1l,MTHFD1,61.099
Nos1,NOS1,92.896
Agmat,AGMAT,76.712
Nos1,NOS3,59.256
Dpagt1,DPAGT1,92.665
Hmbs,HMBS,90.145
Nos1,NOS2,66.516
LOC100761323,PLA2G1B,50.82
Slc37a4,SLC37A4,95.013
G6pc2,G6PC2,93.197
Ptdss1,PTDSS1,96.618
G6pc2,G6PC1,67.797
LOC100762374,UQCRB,90.0
LOC100762374,LOC100297222,68.0
Abcb11,LOC100296627,50.931
Abcb11,ABCB4,50.743
Pik3cg,PIK3CG,94.107
L2hgdh,L2HGDH,78.862
LOC100768457,COX6B1,85.393
LOC100768457,COX6B2,54.545
Abcb11,LOC101902435,56.078
LOC100751202,PDXK,86.09
Abcb11,ABCB11,80.241
Gls,GLS,99.731
LOC103159994,LOC132343858,84.783
Phospho2,PHOSPHO2,80.165
Gad1,GAD1,97.983
Gad1,GAD2,65.313
Gad1,GADL1,52.743
Gad1,CSAD,55.914
Gls,GLS2,80.268
Gad1,LOC529488,76.724
LOC100767807,CYBRD1,87.5
Slc25a12,SLC25A12,96.598
Aadac,AADAC,67.898
Pc,PC,96.014
Aadac,LOC782258,65.957
Slc25a12,SLC25A13,79.715
Galc,GALC,81.481
Neu2,NEU2,67.895
Sec11a,SEC11A,100.0
B3gat2,B3GAT2,96.124
Sec11a,SEC11C,83.333
B3gat2,B3GAT1,57.692
B3gat2,B3GAT3,52.586
Gmpr,GMPR,96.243
Slco4c1,SLCO4C1,72.59
Slc2a6,SLC2A6,85.535
Abo,ABO,75.431
Gmpr,GMPR2,81.022
Ucp3,UCP3,86.218
Ndufa9,NDUFA9,80.267
Galnt8,GALNT8,62.069
Gapdh,GAPDH,94.611
Gapdh,GAPDHS,69.789
Gapdh,LOC616200,92.453
Tpi1,TPI1,75.758
Eno2,ENO2,97.931
Eno2,ENO1,83.991
Ucp3,UCP2,73.802
Eno2,ENO3,84.455
Chdh,CHDH,83.333
Tkt,TKT,93.91
Tkt,TKTL2,68.078
Tkt,TKTL1,63.548
Ucp3,UCP1,61.638
LOC100759549,COA4,87.342
Slc27a4,SLC27A4,88.82
Slc27a4,SLC27A1,62.56
Entpd4,ENTPD4,95.205
Entpd4,ENTPD7,62.561
Prps2,PRPS2,99.06
Pde4d,PDE4D,98.598
Prps2,PRPS1,97.222
Pde4d,PDE4C,78.545
Pde4d,PDE4B,81.59
Pde4d,PDE4A,78.808
Prps2,PRPS1L1,87.544
LOC100759281,COX7A2L,93.043
LOC100759281,COX7A2,56.897
LOC100759281,COX7A1,52.542
Haao,HAAO,86.76
Slc3a1,SLC3A1,76.71
Bckdha,BCKDHA,91.713
Plcd1,PLCD1,89.678
B3gnt8,B3GNT8,71.134
Upp1,UPP1,83.392
Plcd1,PLCD3,50.804
Chst12,CHST12,80.714
Shmt1,SHMT1,86.441
Upp1,UPP2,66.071
Shmt1,SHMT2,62.899
LOC100757371,ALDH3A1,77.313
LOC100757371,ALDH3A2,65.604
LOC100753866,ALG10,86.947
LOC100757658,ALDH3A2,81.075
LOC100757658,ALDH3A1,65.741
LOC100757658,ALDH3B1,52.336
Hpse,HPSE,78.812
Coq2,COQ2,92.488
Nmnat1,NMNAT1,80.714
LOC100757658,LOC508879,51.636
Slc5a11,SLC5A11,83.852
Slc5a11,SLC5A1,50.952
Slc5a11,SLC5A9,56.89
Slc5a11,SLC5A2,51.194
Slc5a11,SLC5A10,56.216
Slc5a11,LOC531152,54.335
Ucp1,UCP1,82.792
Ucp1,UCP2,56.958
Slc5a10,SLC5A10,84.448
Slc5a10,SLC5A9,61.854
Ucp1,UCP3,55.519
Slc5a10,SLC5A2,56.909
Slc5a10,SLC5A1,51.567
Slc5a10,SLC5A11,56.586
Acsm3,ACSM3,85.886
Pigl,PIGL,73.109
Acsm3,ACSM4,60.932
Acsm3,ACSM5,61.959
Pmm2,PMM2,93.305
Pmm2,LOC782057,91.632
Acsm3,ACSM1,56.333
Acsm3,ACSM2B,53.759
Pmm2,PMM1,69.295
Abat,ABAT,91.617
St3gal5,ST3GAL5,84.27
Dhtkd1,DHTKD1,88.139
Nudt5,NUDT5,88.272
Phyh,PHYH,75.811
Hmox1,HMOX1,79.452
Hmox1,HMOX2,53.975
Sephs1,SEPHS1,99.491
Aqp7,AQP7,69.004
LOC100774126,PAFAH1B2,100.0
Sephs1,SEPHS2,81.272
Suv39h2,SUV39H2,89.75
Suv39h2,SUV39H1,59.069
Olah,OLAH,50.725
Ak5,AK5,88.454
Aqp3,AQP3,95.904
Aqp3,AQP9,51.915
LOC100768660,COX18,75.862
Ak5,AK1,55.497
Enpp1,ENPP1,75.166
Pigk,PIGK,94.079
St6galnac5,ST6GALNAC5,86.405
St6galnac5,ST6GALNAC6,52.869
St6galnac3,ST6GALNAC3,85.809
St6galnac3,ST6GALNAC4,53.306
Enpp1,ENPP3,51.537
Acadm,ACADM,88.835
Acadm,LOC101906837,89.72
Slc25a21,SLC25A21,85.043
Slc24a3,SLC24A3,91.765
Slc24a3,SLC24A4,61.552
Acyp2,ACYP2,88.298
Acyp2,ACYP1,60.204
Slc5a9,SLC5A9,85.045
Slc5a9,SLC5A1,56.913
Slc5a9,SLC5A2,53.651
Gpam,GPAM,91.214
Hs3st2,HS3ST2,97.059
Slc5a9,SLC5A4,54.896
Slc5a9,SLC5A10,64.2
Slc5a9,SLC5A11,52.657
Slc5a9,LOC531152,55.063
Hs3st2,HS3ST4,74.877
Gpx7,GPX7,89.82
Gpx7,GPX8,53.012
LOC100756398,COA7,91.81
Hs3st2,HS3ST3B1,71.569
Hs3st2,HS3ST3A1,71.429
Hs3st2,HS3ST6,69.118
Slc2a12,SLC2A12,84.59
Acsl5,ACSL5,82.602
Acsl5,ACSL1,61.786
Echdc2,ECHDC2,89.95
Acsl5,ACSL6,60.296
Slc34a2,SLC34A2,76.074
Slc34a2,SLC34A1,65.184
Slc34a2,SLC34A3,55.197
Impdh2,IMPDH2,98.145
Impdh2,IMPDH1,84.078
Slc25a20,SLC25A20,91.722
Scp2,SCP2,87.431
Pank3,PANK3,98.338
Pank3,PANK2,83.427
Pank3,PANK1,80.056
LOC100755213,SLC22A5,72.777
LOC100755213,SLC22A4,72.232
LOC100755796,SLC22A5,84.144
Pde7b,PDE7B,97.005
LOC100755796,SLC22A4,70.962
Pde7b,PDE7A,59.862
Galnt14,GALNT14,89.453
Galnt14,GALNT16,57.545
Galnt14,GALNT2,54.352
Plb1,PLB1,73.313
Rbks,RBKS,88.085
Slc24a2,SLC24A2,89.505
Slc35d2,SLC35D2,90.036
Slc24a2,SLC24A1,80.583
Slc35d2,SLC35D1,59.712
Uck1,UCKL1,51.149
Uck1,UCK1,95.597
Uck1,UCK2,76.25
Acox3,ACOX3,77.371
G6pd,G6PD,93.023
LOC100763538,LOC615303,73.856
LOC100763538,LOC540544,73.776
LOC100763538,LOC100140261,71.523
LOC100763538,LOC100138908,71.523
LOC100763538,LOC100296421,66.97
LOC100763538,UGT2A1,75.182
LOC100763538,LOC540615,71.192
Slc2a9,SLC2A9,85.404
Slc7a1,SLC7A1,87.619
LOC100763538,LOC100138004,73.585
Slc7a1,SLC7A2,61.912
LOC100763538,UGT2B10,75.627
Slc7a1,SLC7A3,58.898
LOC100763538,LOC530553,71.898
LOC100763538,MGC152010,71.062
Slc7a1,LOC527385,51.582
LOC100763538,LOC526979,70.29
Slc7a1,MGC138914,52.866
Slc7a1,LOC528332,50.751
Slc7a1,MGC157082,52.372
Slc7a1,LOC104968422,51.976
Slc7a1,LOC525820,50.205
Slc7a1,LOC789418,50.218
Slc7a1,SLC7A14,50.685
Slc7a1,LOC532048,50.891
LOC100763538,LOC781988,68.231
Slc7a1,LOC504861,64.198
Slc7a1,LOC132342876,69.6
Slc7a1,LOC101904151,54.545
Urad,URAD,75.882
Pla2g10,LOC613966,58.571
Ndst2,NDST2,96.493
Ndst2,NDST1,72.353
Ndst2,NDST4,67.474
Ndst2,NDST3,64.44
Adk,ADK,90.149
LOC100762380,LOC615303,68.522
LOC100762380,LOC100296421,65.957
LOC100762380,UGT2B10,66.469
Comtd1,COMTD1,87.072
Pla2g4a,PLA2G4A,94.8
Ptgs2,PTGS2,88.455
Ptgs2,PTGS1,64.685
LOC100759002,UQCRFS1,94.231
LOC100759002,LOC101902754,90.338
Gmds,GMDS,97.059
LOC100762380,LOC100138908,64.797
LOC100762380,LOC540615,64.797
LOC100762380,LOC100140261,64.603
LOC100761903,COA6,80.0
LOC100761903,LOC104972669,80.0
Ntpcr,NTPCR,86.387
LOC100762380,LOC540544,73.62
LOC100762380,LOC100138004,76.923
LOC100762380,UGT2A1,75.182
Gnpat,GNPAT,83.741
Galnt2,GALNT2,96.219
Galnt2,GALNT16,56.073
Galnt2,GALNT14,51.807
LOC100762380,LOC526979,54.813
Galnt2,GALNT11,53.086
Atp2b2,ATP2B2,99.249
Sult1b1,SULT1B1,77.027
Sult1b1,SULT1D1,57.432
Sult1b1,SULT1C3,54.167
Sult1b1,SULT1C2,52.982
Sult1b1,SULT1E1,56.383
Sult1b1,SULT1A1,52.113
Sult1b1,LOC100300896,55.513
Sult1b1,LOC783020,57.034
Pla2g12a,PLA2G12A,95.833
Pla2g12a,PLA2G12B,51.261
LOC100755503,GUCY2F,85.222
Ptgs1,PTGS1,84.886
Ptgs1,PTGS2,63.604
Ptgs1,NOTCH2,51.351
Ndufa8,NDUFA8,86.705
Cept1,CEPT1,97.362
Cept1,CHPT1,67.204
Abcc2,ABCC2,78.964
Abcc2,LOC112449072,50.239
LOC100751499,COX15,92.332
Atp6v1b1,ATP6V1B1,92.607
Atp6v1b1,ATP6V1B2,87.629
Nagk,NAGK,87.413
Moxd1,MOXD1,89.189
Moxd1,LOC785161,88.131
LOC100758983,NDST3,90.504
LOC100758983,NDST4,73.805
LOC100758983,NDST1,68.173
Atp2b2,ATP2B3,84.919
LOC100758983,NDST2,74.074
Acaca,ACACA,98.799
Acaca,ACACB,81.928
Alg12,ALG12,78.959
LOC100750437,SLC2A13,87.622
Plcb2,PLCB2,92.268
Ivd,IVD,88.785
Atp6v0d2,ATP6V0D2,88.788
Atp6v0d2,ATP6V0D1,67.077
Dgkd,DGKD,91.488
Dgkd,DGKH,65.077
Atp2b2,ATP2B1,81.373
Dgkd,LOC132344348,66.316
Dgkd,DGKG,50.505
Dgkd,SHANK2,50.769
Inppl1,INPPL1,95.336
Inppl1,PTPN11,52.5
LOC100751798,LOC530553,58.427
LOC100751894,NMRK1,83.636
LOC100751894,NMRK2,55.026
Pde8a,PDE8A,80.789
Pde8a,PDE8B,63.743
LOC100772782,COX7B,56.79
LOC100772782,COX7B2,53.75
Extl2,EXTL2,82.712
Sod3,SOD3,68.075
Atp2b2,ATP2B4,79.963
Etfb,ETFB,94.141
Slc6a11,SLC6A11,95.073
Tpp1,TPP1,88.475
Pfkm,PFKM,96.159
Pfkm,PFKL,70.157
Slc6a11,SLC6A13,72.21
Pfkm,PFKP,71.651
Slc6a11,SLC6A6,59.596
Ptdss2,PTDSS2,97.191
Slc6a11,SLC6A1,54.617
Slc6a11,SLC6A8,56.947
Slc6a11,SLC6A12,75.08
Slc6a1,SLC6A1,97.333
Slc6a1,SLC6A13,52.931
Slc6a1,SLC6A11,51.712
LOC100765588,UQCRH,81.538
Slc6a1,SLC6A6,52.26
Slc16a1,SLC16A1,84.095
Slc16a1,LOC509911,75.15
Slc16a1,SLC16A7,59.534
Asl,ASL,94.168
Slc6a1,SLC6A12,52.195
Gusb,GUSB,77.932
Gusb,LOC101904377,76.879
Pde6g,PDE6G,100.0
Pde6g,PDE6H,94.286
Slc25a10,SLC25A10,89.474
Akr1b8,AKR1E2,59.211
P4hb,P4HB,96.244
P4hb,PDIA6,53.165
Akr1b8,AKR1D1,50.629
Akr1b8,LOC785762,50.836
Akr1b8,LOC616199,72.832
Akr1b8,AKR1B1,72.832
Akr1b8,AKR1B10,76.216
Pcyt2,PCYT2,95.498
Akr1b8,LOC538060,50.207
Akr1b8,LOC514083,50.37
Pycr1,PYCR1,89.969
Pycr1,PYCR2,83.072
LOC100757262,AKR1E2,58.224
Dcxr,DCXR,86.939
Dcxr,LOC112441469,86.531
Dcxr,LOC782391,66.939
Fasn,FASN,79.603
LOC100757262,AKR1B1,73.988
Slc16a3,SLC16A3,88.936
Slc16a3,SLC16A8,56.893
